neuron_label,root_id,cell_type,subtype,branch_idx,branch_order,mean_diameter_nm,total_length_nm,electrotonic_length,soma_distance_nm,synapse_count,exc_count,inh_count,exc_fraction
exc_23P,864691135848859998,excitatory,23P,0,0,2591.8571428571427,25636.3903823545,0.02758112479670322,12818.19519117725,21,0,21,0.0
exc_23P,864691135848859998,excitatory,23P,1,1,7612.0,14778.011774254343,0.009277420592108544,7389.005887127171,17,0,17,0.0
exc_23P,864691135848859998,excitatory,23P,2,1,3637.2,17370.50202110955,0.01577572787411854,8685.251010554775,14,1,13,0.07142857142857142
exc_23P,864691135848859998,excitatory,23P,3,1,7540.0,13192.846546519064,0.008321727019288386,6596.423273259532,9,5,4,0.5555555555555556
exc_23P,864691135848859998,excitatory,23P,4,1,4181.5,15863.12266838469,0.013436410369229787,7931.561334192345,23,4,19,0.17391304347826086
exc_23P,864691135848859998,excitatory,23P,5,1,3052.285714285714,20248.236039785235,0.020074060569776533,10124.118019892618,14,2,12,0.14285714285714285
exc_23P,864691135848859998,excitatory,23P,6,8,895.8666666666667,20984.127671450446,0.038399879225164434,149010.76447000282,1,0,1,0.0
exc_23P,864691135848859998,excitatory,23P,7,8,877.9487179487179,55710.03014445101,0.1029815552437722,166373.7157065031,0,0,0,
exc_23P,864691135848859998,excitatory,23P,8,1,1993.090909090909,14696.158995328473,0.01803021540088359,32984.46988001874,5,0,5,0.0
exc_23P,864691135848859998,excitatory,23P,9,1,1330.888888888889,10661.96451138462,0.016007627156902828,30967.37263804681,7,0,7,0.0
exc_23P,864691135848859998,excitatory,23P,10,9,724.3157894736842,54562.270688754965,0.11104246318694215,186783.96365010552,2,0,2,0.0
exc_23P,864691135848859998,excitatory,23P,11,9,698.2608695652174,30806.720294010785,0.06385534275121053,174906.18845273342,3,1,2,0.3333333333333333
exc_23P,864691135848859998,excitatory,23P,12,2,1715.4285714285713,9048.011465985077,0.011965406295087008,44856.555110675516,7,2,5,0.2857142857142857
exc_23P,864691135848859998,excitatory,23P,13,2,1394.0,6490.13853506084,0.009521014084194182,43577.6186452134,0,0,0,
exc_23P,864691135848859998,excitatory,23P,14,3,1641.7142857142858,19617.006669411683,0.026518232771758292,59189.06417837389,16,2,14,0.125
exc_23P,864691135848859998,excitatory,23P,15,3,944.2285714285714,102614.82669174546,0.1829077782799817,100687.97418954078,13,3,10,0.23076923076923078
exc_23P,864691135848859998,excitatory,23P,16,3,1028.0,17362.232225027186,0.02965989647090336,55503.80402525741,7,0,7,0.0
exc_23P,864691135848859998,excitatory,23P,17,3,1022.5714285714286,7508.993051948084,0.012861614927746682,50577.18443871786,0,0,0,
exc_23P,864691135848859998,excitatory,23P,18,4,1011.6190476190476,30157.100238980882,0.051932796332055,58363.50969348831,11,0,11,0.0
exc_23P,864691135848859998,excitatory,23P,19,4,476.0,9664.940061334753,0.02426366024191842,48117.429604665245,1,0,1,0.0
exc_23P,864691135848859998,excitatory,23P,20,4,572.5714285714286,8281.620369229528,0.018956628949339874,47425.76975861263,1,1,0,1.0
exc_23P,864691135848859998,excitatory,23P,21,4,1734.5,10448.073207147758,0.013740726083999802,74221.60411665362,4,1,3,0.25
exc_23P,864691135848859998,excitatory,23P,22,4,935.3529411764706,98085.28568153972,0.17566155810701622,118040.2103538496,5,0,5,0.0
exc_23P,864691135848859998,excitatory,23P,23,4,815.7777777777778,92392.5863635499,0.1771788247244765,110381.21331954595,15,0,15,0.0
exc_23P,864691135848859998,excitatory,23P,24,4,879.0,56486.238223831024,0.10435393810596306,92428.03924968651,12,1,11,0.08333333333333333
exc_23P,864691135848859998,excitatory,23P,25,5,1490.6,13482.141485100807,0.019126651699343016,86186.7114627779,2,1,1,0.5
exc_23P,864691135848859998,excitatory,23P,26,5,964.3636363636364,29925.355466717825,0.05278123310810057,94408.3184535864,2,0,2,0.0
exc_23P,864691135848859998,excitatory,23P,27,5,819.2888888888889,65621.44916947863,0.1255705833627676,106252.78439771806,10,3,7,0.3
exc_23P,864691135848859998,excitatory,23P,28,5,760.2105263157895,53638.25778733565,0.106553654921822,100261.18870664659,10,4,6,0.4
exc_23P,864691135848859998,excitatory,23P,29,6,1595.3333333333333,7442.326414433755,0.010205719352768882,96648.94541254516,0,0,0,
exc_23P,864691135848859998,excitatory,23P,30,6,1246.6666666666667,20068.677398455537,0.031131798111667865,102962.12090455605,3,0,3,0.0
exc_23P,864691135848859998,excitatory,23P,31,7,1266.888888888889,25437.103355678166,0.03914344258928762,113088.66029760113,3,1,2,0.3333333333333333
exc_23P,864691135848859998,excitatory,23P,32,7,1143.3488372093022,61608.46986092731,0.09979566413517665,131174.3435502257,9,1,8,0.1111111111111111
exc_23P,864691135848859998,excitatory,23P,33,8,1100.8387096774193,45143.83252227908,0.0745241801746828,148379.12823657974,4,0,4,0.0
exc_23P,864691135848859998,excitatory,23P,34,8,777.52,109791.9183641147,0.2156627884800358,180703.17115749756,8,2,6,0.25
exc_23P,864691135848859998,excitatory,23P,35,4,961.1428571428571,19624.616614820527,0.034671117284982525,66065.67912250932,1,1,0,1.0
exc_23P,864691135848859998,excitatory,23P,36,4,812.8,63716.19993237492,0.12241049277722274,88111.47078128651,15,6,9,0.4
exc_23P,864691135848859998,excitatory,23P,37,9,741.7142857142857,18747.746163031472,0.037704342357355494,203602.60386024436,0,0,0,
exc_23P,864691135848859998,excitatory,23P,38,9,695.5,8359.26206271777,0.017361210417885242,198408.3618100875,0,0,0,
exc_23P,864691135848859998,excitatory,23P,39,5,732.5,46611.0320761457,0.09432906553979814,99183.50346799243,19,5,14,0.2631578947368421
exc_23P,864691135848859998,excitatory,23P,40,5,594.0,9188.216291865469,0.020648980534194065,80472.09557585232,0,0,0,
exc_23P,864691135848859998,excitatory,23P,41,5,590.25,9187.990304008847,0.02071396116570625,80471.982581924,1,0,1,0.0
exc_23P,864691135848859998,excitatory,23P,42,5,547.0,8731.296576065812,0.020447758364093908,80243.63571795248,0,0,0,
exc_23P,864691135848859998,excitatory,23P,43,5,581.1428571428571,7674.513275057443,0.017436929710982527,79715.24406744831,0,0,0,
exc_23P,864691135848859998,excitatory,23P,44,5,666.0,7669.716169950133,0.01627806600942454,79712.84551489465,0,0,0,
exc_23P,864691135848859998,excitatory,23P,45,5,565.7142857142857,7370.064682102336,0.01697201292343327,79563.01977097074,1,0,1,0.0
